contract_title,num_categories,num_clauses,num_answered,coverage_percent
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,34,41,19,46.3%
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,34,41,9,22.0%
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,34,41,8,19.5%
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,34,41,13,31.7%
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,34,41,13,31.7%
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT,34,41,18,43.9%
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT",34,41,16,39.0%
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement ",34,41,9,22.0%
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT",34,41,9,22.0%
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)",34,41,11,26.8%
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT,34,41,10,24.4%
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,34,41,18,43.9%
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT,34,41,20,48.8%
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT,34,41,10,24.4%
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT,34,41,7,17.1%
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT,34,41,9,22.0%
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT,34,41,8,19.5%
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT,34,41,17,41.5%
